date,time_updated,total_positive_cases,new_daily_cases,total_deaths,new_daily_deaths,city,county,state
01/22/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/23/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/24/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/25/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/26/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/27/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/28/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/29/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/30/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
01/31/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/01/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/02/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/03/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/04/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/05/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/06/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/07/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/08/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/09/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/10/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/11/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/12/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/13/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/14/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/15/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/16/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/17/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/18/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/19/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/20/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/21/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/22/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/23/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/24/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/25/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/26/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/27/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/28/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
02/29/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
03/01/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
03/02/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
03/03/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
03/04/20,09:00:00 AM,0,0,0,0,San Francisco,San Francisco,CA
03/05/20,09:00:00 AM,2,2,0,0,San Francisco,San Francisco,CA
03/06/20,09:00:00 AM,2,0,0,0,San Francisco,San Francisco,CA
03/07/20,09:00:00 AM,9,7,0,0,San Francisco,San Francisco,CA
03/08/20,09:00:00 AM,9,0,0,0,San Francisco,San Francisco,CA
03/09/20,09:00:00 AM,9,0,0,0,San Francisco,San Francisco,CA
03/10/20,09:00:00 AM,14,5,0,0,San Francisco,San Francisco,CA
03/11/20,09:00:00 AM,14,0,0,0,San Francisco,San Francisco,CA
03/12/20,09:00:00 AM,0,-14,0,0,San Francisco,San Francisco,CA
03/13/20,09:00:00 AM,21,21,0,0,San Francisco,San Francisco,CA
03/14/20,09:00:00 AM,28,7,0,0,San Francisco,San Francisco,CA
03/15/20,09:00:00 AM,37,9,0,0,San Francisco,San Francisco,CA
03/16/20,09:00:00 AM,40,3,0,0,San Francisco,San Francisco,CA
03/17/20,09:00:00 AM,43,3,0,0,San Francisco,San Francisco,CA
03/18/20,09:00:00 AM,51,8,0,0,San Francisco,San Francisco,CA
03/19/20,09:00:00 AM,70,19,0,0,San Francisco,San Francisco,CA
03/20/20,09:00:00 AM,76,6,0,0,San Francisco,San Francisco,CA
03/21/20,09:00:00 AM,84,8,0,0,San Francisco,San Francisco,CA
03/22/20,09:00:00 AM,84,0,0,0,San Francisco,San Francisco,CA
03/23/20,09:00:00 AM,131,47,0,0,San Francisco,San Francisco,CA
03/24/20,09:00:00 AM,152,21,0,0,San Francisco,San Francisco,CA
03/25/20,09:00:00 AM,178,26,1,1,San Francisco,San Francisco,CA
03/26/20,09:00:00 AM,223,45,2,1,San Francisco,San Francisco,CA
